,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_area
0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,731.17
1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,687.3
2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,725.4
3,Adelie,Torgersen,,,,,Male,750.7856432748538
4,Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,708.3100000000001
5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,809.58
6,Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,692.42
7,Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,768.3200000000002
8,Adelie,Torgersen,34.1,18.1,193.0,3475.0,Male,617.21
9,Adelie,Torgersen,42.0,20.2,190.0,4250.0,Male,848.4
10,Adelie,Torgersen,37.8,17.1,186.0,3300.0,Male,646.38
11,Adelie,Torgersen,37.8,17.3,180.0,3700.0,Male,653.9399999999999
12,Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,723.3600000000001
13,Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,818.32
14,Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,730.0600000000001
15,Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,651.48
16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,735.3000000000001
17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,879.75
18,Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,632.9599999999999
19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,989.0
20,Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,691.74
21,Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,704.99
22,Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,689.28
23,Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,691.4200000000001
24,Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,667.3599999999999
25,Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,667.1699999999998
26,Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,755.1600000000001
27,Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,724.9499999999999
28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,704.94
29,Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,765.4499999999999
30,Adelie,Dream,39.5,16.7,178.0,3250.0,Female,659.65
31,Adelie,Dream,37.2,18.1,178.0,3900.0,Male,673.32
32,Adelie,Dream,39.5,17.8,188.0,3300.0,Female,703.1
33,Adelie,Dream,40.9,18.9,184.0,3900.0,Male,773.0099999999999
34,Adelie,Dream,36.4,17.0,195.0,3325.0,Female,618.8
35,Adelie,Dream,39.2,21.1,196.0,4150.0,Male,827.1200000000001
36,Adelie,Dream,38.8,20.0,190.0,3950.0,Male,776.0
37,Adelie,Dream,42.2,18.5,180.0,3550.0,Female,780.7
38,Adelie,Dream,37.6,19.3,181.0,3300.0,Female,725.6800000000001
39,Adelie,Dream,39.8,19.1,184.0,4650.0,Male,760.18
40,Adelie,Dream,36.5,18.0,182.0,3150.0,Female,657.0
41,Adelie,Dream,40.8,18.4,195.0,3900.0,Male,750.7199999999999
42,Adelie,Dream,36.0,18.5,186.0,3100.0,Female,666.0
43,Adelie,Dream,44.1,19.7,196.0,4400.0,Male,868.77
44,Adelie,Dream,37.0,16.9,185.0,3000.0,Female,625.3
45,Adelie,Dream,39.6,18.8,190.0,4600.0,Male,744.48
46,Adelie,Dream,41.1,19.0,182.0,3425.0,Male,780.9
47,Adelie,Dream,37.5,18.9,179.0,2975.0,Male,708.75
48,Adelie,Dream,36.0,17.9,190.0,3450.0,Female,644.4
49,Adelie,Dream,42.3,21.2,191.0,4150.0,Male,896.7599999999999
50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,700.92
51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,757.89
52,Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,626.5
53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,819.0
54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,624.45
55,Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,770.0400000000001
56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,682.5
57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,763.2800000000001
58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,605.9000000000001
59,Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,718.1600000000001
60,Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,603.33
61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,871.43
62,Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,639.2
63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,748.02
64,Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,622.44
65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,748.8000000000001
66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,575.1
67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,785.0100000000001
68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,595.94
69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,810.9199999999998
70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,636.5
71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,730.48
72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,681.12
73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,865.6199999999999
74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,621.25
75,Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,791.8
76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,687.12
77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,721.68
78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,582.82
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,804.1100000000001
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,595.12
81,Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,755.0400000000001
82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,689.96
83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,680.9399999999999
84,Adelie,Dream,37.3,17.8,191.0,3350.0,Female,663.9399999999999
85,Adelie,Dream,41.3,20.3,194.0,3550.0,Male,838.39
86,Adelie,Dream,36.3,19.5,190.0,3800.0,Male,707.8499999999999
87,Adelie,Dream,36.9,18.6,189.0,3500.0,Female,686.34
